Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base,Taker buy quote,Ignore,Close_n1,Close_1n,Close_2n,Close_3n,Close_4n,Close_5n,Close_6n,Close_7n,clust
20170817,4261.48,4485.39,4200.74,4285.08,795.150377,1503014399999,3454770.05073206,3427,616.248541,2678216.40060401,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
20170823,4040.0,4265.8,4013.89,4114.01,1001.136565,1503532799999,4148686.46581968,8629,309.419092,1293567.09519463,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
20170830,4564.52,4647.51,4416.01,4555.14,808.468771,1504137599999,3683714.68666123,5551,196.062252,894620.23750883,0,4724.89,4587.48,4386.69,4310.01,4337.44,4280.68,4316.01,4114.01,1
20170902,4796.16,4939.19,4286.87,4472.14,929.148595,1504396799999,4257723.944817,7475,379.199863,1738334.08541735,0,4509.08,4834.91,4724.89,4555.14,4587.48,4386.69,4310.01,4337.44,1
20170903,4508.5,4714.76,4298.33,4509.08,691.216198,1504483199999,3121052.75230181,6022,258.934536,1169644.69159694,0,4100.11,4472.14,4834.91,4724.89,4555.14,4587.48,4386.69,4310.01,1
20170905,4106.97,4484.99,3603.0,4366.47,1228.938157,1504655999999,5083453.18675071,10084,533.476065,2214297.83961246,0,4619.77,4100.11,4509.08,4472.14,4834.91,4724.89,4555.14,4587.48,1
20170910,4258.81,4283.0,3801.0,4130.37,660.373275,1505087999999,2700371.80819211,3435,291.786887,1193884.03650449,0,4208.47,4258.81,4282.8,4691.61,4619.77,4366.47,4100.11,4509.08,1
20170912,4208.6,4394.59,4040.8,4163.72,879.630319,1505260799999,3725190.62328952,6501,451.78067,1911015.26637066,0,3944.69,4208.47,4130.37,4258.81,4282.8,4691.61,4619.77,4366.47,1
20170916,3674.01,3950.0,3470.66,3714.95,1297.563953,1505606399999,4804878.24721283,8809,624.887842,2314536.03271908,0,3699.99,3700.0,3189.02,3944.69,4163.72,4208.47,4130.37,4258.81,1
20170918,3690.0,4123.2,3690.0,4035.01,1030.006455,1505779199999,4069033.05715863,8220,417.638722,1651863.37125876,0,3910.04,3699.99,3714.95,3700.0,3189.02,3944.69,4163.72,4208.47,1
