,20151207,20160121,20160215,20160220,20160221,20160229,20160409,20160505,20160602,20160617,20160628,20160807,20160923,20160930,20161007,20161211,20161219,20170110,20170201,20170223,20170225,20170324,20170404,20170503,20170524,20170527,20170528,20170530,20170531,20170602,20170607,20170613,20170614,20170620,20170627,20170702,20170704,20170729,20170802,20170806,20170823,20170830,20170902,20170903,20170905,20170910,20170912,20170916,20170918,20170919,20170926,20170928,20170930,20171002,20171003,20171004,20171005,20171010,20171011,20171017,20171018,20171025,20171026,20171027,20171028,20171029,20171030,20171031,20171101,20171102,20171103,20171106,20171107,20171112,20171115,20171116,20171117,20171119,20171121,20171123,20171124,20171128,20171129,20171130,20171202,20171205,20171209,20171210,20171212,20171216,20171218,20171219,20171220,20171221,20171222,20171223,20171224,20171227,20180102,20180107,20180116,20180119,20180121,20180123,20180124,20180206,20180208,20180213,20180222,20180227,20180302,20180304,20180306,20180309,20180310,20180311,20180318,20180325,20180327,20180329,20180401,20180402,20180403,20180405,20180406,20180407,20180408,20180409,20180410,20180411,20180412,20180413,20180414,20180415,20180416,20180417,20180418,20180419,20180420,20180421,20180422,20180423,20180424,20180426,20180427,20180428,20180429,20180430,20180501,20180502,20180503,20180504,20180505,20180506,20180507,20180508,20180509,20180510,20180512,20180513,20180514,20180515,20180516,20180517,20180518,20180520,20180522,20180525,20180527,20180529,20180601,20180602,20180604,20180605,20180607,20180608,20180611,20180612,20180614,20180616,20180617,20180618,20180621,20180622,20180623,20180624,20180625,20180628,20180629,20180630,20180701,20180702,20180703,20180704,20180705,20180707,20180708,20180709,20180710
close,13,13,4,4,4,4,4,4,4,4,4,4,14,4,4,4,21,14,4,22,22,4,4,4,4,4,4,4,4,4,4,4,4,4,11,4,4,14,14,0,0,11,11,11,32,24,14,25,25,10,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,25,25,25,25,25,0,0,0,0,0,0,14,14,0,0,0,14,14,0,0,0,0,0,20,10,0,26,21,24,0,0,14,11,14,0,11,23,23,21,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,11,25,11,0,14,0,0,0,0,26,11,0,0,0,12,12,14,28,15,15,14,14,14,0,0,0,0,0,0,0,12,24,11,10,10,0,14,0,0,0,0,0,0,0,14,0,0,15,10,0,0,0
buy,26,26,26,26,26,26,20,20,30,20,30,30,43,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,53,40,47,33,33,33,33,14,14,8,14,14,14,14,14,14,14,50,50,37,14,14,25,25,25,25,25,24,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,25,25,29,29,26,30,30,15,15,15,38,40,39,37,56,37,37,26,26,15,15,26,26,15,15,40,39,53,25,25,29,35,30,11,42,39,77,39,14,0,14,28,0,37,54,0,0,0,0,40,40,0,0,0,0,0,26,24,0,0,7,0,0,11,18,10,7,22,0,0,0,21,25,23,22,21,14,0,0,0,0,7,0,12,0,0,11,12,0,14,0,14,14,10,0,0,0,0,0,0,7,0,0,0,14,0,0,0,0,11,10,10,10,10,0,14,14,0,14,0,7,0,7,0,14
join,6,6,6,6,6,6,0,0,0,9,10,10,0,10,10,17,11,8,11,11,11,22,19,12,12,12,12,12,12,12,12,19,12,12,12,12,12,21,23,36,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,24,10,10,10,25,21,10,24,10,50,20,10,21,10,10,10,10,10,10,10,10,10,10,10,34,10,10,10,21,21,32,10,10,10,21,21,21,24,10,10,10,25,36,20,10,10,10,10,10,24,24,24,24,24,10,10,10,10,10,10,10,10,21,21,21,21,10,10,10,10,10,10,10,10,10,10,10,24,10,10,10,38,24,24,21,10,10,10,29,10,24,10,10,22,20,38,10,25,34,34,34,46,34,10,10,10,10,10,22,41,32,33,21
forum,6,6,6,6,6,6,20,20,20,20,39,39,20,20,20,20,40,30,30,20,20,20,20,45,45,38,38,38,38,38,58,38,20,20,20,20,20,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,24,24,24,24,24,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,25,25,15,15,15,43,15,15,15,15,29,29,15,15,29,30,27,25,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
get,24,24,24,24,24,6,7,27,17,60,7,7,20,20,40,30,60,49,42,42,42,32,42,56,56,77,60,40,40,40,32,48,48,42,81,68,68,10,10,18,36,10,36,36,40,21,20,24,24,24,24,24,10,10,10,10,10,22,20,20,20,7,7,7,7,7,8,8,8,8,8,74,47,42,29,29,29,55,56,54,54,32,18,18,32,60,38,52,60,33,28,32,18,18,32,61,41,30,18,18,38,18,28,28,18,21,10,10,11,46,20,20,56,0,14,0,0,0,54,36,11,0,0,0,14,0,0,14,0,14,0,14,14,0,0,14,49,28,28,0,0,0,7,0,23,33,17,35,7,0,40,93,34,40,35,49,22,17,11,10,0,29,21,12,24,14,14,36,58,73,20,10,10,10,10,31,49,34,31,51,52,76,17,66,24,24,24,10,10,10,24,31,10,10,32,52,21,20,10
start,6,6,6,6,6,6,13,13,13,13,13,13,33,33,23,13,13,21,49,13,13,13,13,23,23,13,13,13,13,13,31,21,47,23,29,39,39,7,35,7,7,21,18,18,32,7,21,22,22,19,7,7,7,7,7,7,7,21,7,22,22,21,21,21,21,21,19,19,19,19,19,46,18,18,18,18,43,18,18,18,18,18,18,18,18,18,28,28,18,18,18,18,18,32,18,18,32,18,18,18,18,53,18,18,64,10,10,10,15,11,0,14,0,14,26,11,49,14,11,0,14,0,0,25,39,0,0,14,14,0,0,0,0,0,14,0,7,0,14,14,28,28,0,10,0,0,0,14,26,10,0,14,12,12,24,21,14,21,28,28,0,0,7,40,35,0,0,28,14,14,8,0,42,42,0,14,28,40,14,14,28,0,19,29,21,21,21,10,0,0,0,0,0,0,0,0,35,0,40
faq,6,6,6,6,6,6,20,20,20,20,20,20,20,20,20,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
price,29,29,26,26,26,36,10,20,29,39,10,10,20,0,10,0,19,90,16,24,24,46,36,30,30,174,210,87,70,62,130,82,104,16,33,16,16,38,21,41,0,39,10,10,79,12,0,21,21,47,10,10,37,37,37,37,37,0,36,33,33,75,75,75,75,75,79,79,79,79,79,0,14,52,75,75,45,80,90,67,67,74,75,61,0,44,12,47,26,65,34,11,10,28,36,129,63,76,39,11,10,11,0,0,14,104,32,58,15,80,0,0,0,28,14,28,15,10,10,36,0,24,24,21,52,29,51,24,14,0,0,26,53,24,87,62,12,26,14,0,28,33,42,0,28,0,14,40,0,28,28,12,28,30,40,40,26,48,22,11,26,14,38,23,19,42,42,25,21,21,0,14,28,28,35,21,19,33,26,33,24,10,10,14,52,23,23,11,40,94,98,34,14,0,31,15,12,11,0
last,19,19,10,10,10,29,0,0,0,10,0,0,0,0,0,0,0,10,30,20,20,0,0,16,16,6,6,46,46,32,26,16,10,10,20,10,10,0,0,0,0,0,14,14,0,28,14,0,0,0,10,10,0,0,14,14,14,14,0,0,0,14,14,14,14,14,0,0,0,0,0,0,28,14,54,54,10,0,0,14,14,0,28,0,14,14,0,14,14,0,14,14,0,0,0,0,0,38,28,0,38,14,26,26,38,28,0,14,0,22,24,0,0,14,42,42,0,14,14,0,0,0,0,0,0,0,0,14,28,0,25,24,14,14,14,0,0,0,14,0,7,0,42,24,14,68,52,0,14,14,0,0,14,0,14,0,0,0,40,10,14,0,0,42,28,14,14,14,42,42,11,0,42,42,28,0,0,14,0,14,14,15,0,0,0,0,0,0,7,50,33,26,24,42,28,14,42,0,28
day,28,28,10,10,10,10,0,30,40,0,10,10,10,20,10,16,27,30,14,10,10,10,26,56,56,34,27,0,0,10,20,0,20,0,18,30,30,175,104,225,167,132,180,180,130,154,120,180,180,142,130,130,165,165,153,153,153,141,58,69,69,132,132,132,132,132,168,168,168,168,168,163,175,212,125,125,174,211,211,201,201,200,175,163,211,187,219,159,225,175,152,227,141,177,173,191,243,174,261,200,137,161,149,149,213,249,221,245,202,225,129,196,188,164,212,236,166,210,249,196,198,187,187,149,200,112,234,224,94,142,130,82,122,156,144,106,142,122,220,120,167,119,153,118,106,106,170,142,168,106,132,70,183,156,180,194,178,123,149,118,144,146,106,106,156,144,144,132,170,170,118,82,146,146,134,106,156,118,114,130,130,144,58,156,166,166,166,168,118,125,154,142,161,233,140,118,195,153,142
page,9,9,18,18,18,9,9,21,21,9,9,9,9,18,18,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,34,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,34,20,68,60,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,34,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,24,10,10,10,10,10,10,10,10,10,10
feature,9,9,9,9,9,9,11,13,23,1,1,1,16,16,6,1,16,8,8,8,8,28,8,14,14,14,24,24,14,14,14,14,8,8,8,8,8,0,0,0,0,0,0,0,0,12,12,12,12,0,0,0,0,0,12,12,12,0,0,0,0,0,0,0,0,0,14,14,14,14,14,12,0,0,10,10,12,11,11,0,0,32,21,22,0,11,50,11,0,34,12,0,36,23,11,11,35,11,0,0,12,23,36,36,12,0,0,26,0,12,12,50,0,46,24,24,11,12,11,0,14,14,14,36,36,35,52,12,0,21,22,21,45,22,10,22,21,24,36,22,21,36,10,10,10,10,10,10,21,10,25,36,20,10,35,10,10,53,20,25,21,34,22,36,24,26,26,24,25,25,26,42,34,34,31,20,0,0,0,11,14,18,0,0,0,0,0,14,12,14,0,0,0,0,0,0,0,15,40
payment,39,39,0,0,0,35,10,10,0,10,0,0,19,20,0,0,0,0,26,10,10,112,27,16,16,62,62,42,42,13,16,26,20,0,0,63,63,29,0,0,10,0,0,0,11,28,57,28,28,15,0,0,0,0,0,0,0,37,49,10,10,11,11,11,11,11,14,14,14,14,14,0,0,0,0,0,0,0,26,54,54,22,10,10,11,26,26,14,0,11,10,0,0,0,0,0,14,10,39,25,0,40,25,25,82,0,30,20,0,23,23,53,0,15,50,36,10,11,27,89,20,0,0,0,0,0,0,0,25,40,36,11,26,36,25,11,11,0,0,0,0,15,67,28,14,14,14,0,0,0,0,14,25,26,0,0,0,28,0,14,14,0,23,11,37,21,21,74,78,78,14,37,21,21,0,0,0,56,11,7,28,0,0,29,10,10,10,14,0,0,28,54,10,0,0,8,0,0,0
link,30,30,0,0,0,0,6,6,6,6,6,6,6,11,11,11,11,11,11,11,11,11,19,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,21,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,36,21,7,7,7,7,7,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,38,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,26,0,0,0,0,0,0,0,0,0,0
