,buy,wallet,bitcoin,get,start,price,last,day,ope,feature,global,payment,miss,exchange,latest,continue,bitcoincom,cryptocurrency,trading,digital,currency,bitcoins,new,follow,announce,large,user,year,financial,market,world,platform,money,blockchain,asset,launch,firm,first,use,one,case,big,technology,service,make,say,fund,central,bank,satoshi,month,reveal,trade,see,cash,million,company,mining,security,featured,update,jamie,redman,project,high,government,App,billion,finance,investment,create,mine,show,network,report,investor,coin,offer,crypto,regulation,revolution,btc,week,plan,cryptocurrencies,token,hour,ago,bch,Open time
20170806,8,39,472,18,7,41,0,225,0,0,15,0,11,71,15,0,33,56,31,0,0,52,50,28,0,11,28,0,26,55,7,36,17,85,0,14,0,72,38,31,11,11,11,40,35,0,60,10,30,0,0,11,0,0,170,0,21,11,0,0,46,0,0,0,0,24,10,0,0,25,0,10,0,71,0,0,0,0,0,10,0,14,14,22,0,28,73,205,28,20170817
20170823,14,80,640,36,7,0,0,167,11,0,0,10,11,185,5,0,39,12,25,42,96,14,0,0,14,48,10,28,51,85,51,0,7,32,0,46,0,96,10,21,11,14,36,28,36,14,0,85,75,0,11,14,11,0,100,24,21,35,0,0,24,0,0,11,0,24,10,0,0,0,0,26,0,14,14,0,11,0,11,37,0,0,14,0,0,0,106,249,0,20170823
20170830,14,32,423,10,21,39,0,132,11,0,28,0,11,183,1,14,70,94,62,0,21,28,73,28,11,10,25,24,28,88,17,0,7,0,14,48,37,56,35,7,11,0,0,0,24,34,24,0,35,0,0,0,86,0,44,10,49,22,14,0,53,0,0,0,81,39,44,11,28,0,14,14,14,0,14,11,14,39,25,35,0,28,14,38,42,11,141,249,0,20170830
20170902,14,32,460,36,18,10,14,180,11,0,0,0,11,66,5,37,60,73,25,14,75,28,46,0,25,10,38,42,25,24,7,21,7,39,0,10,14,17,49,44,11,14,0,36,0,0,14,0,10,0,37,0,10,14,61,11,35,24,0,0,10,0,0,0,10,31,10,0,0,74,0,15,14,51,43,10,0,14,10,34,0,14,39,15,0,11,69,249,14,20170902
20170903,14,32,460,36,18,10,14,180,11,0,0,0,11,66,5,37,60,73,25,14,75,28,46,0,25,10,38,42,25,24,7,21,7,39,0,10,14,17,49,44,11,14,0,36,0,0,14,0,10,0,37,0,10,14,61,11,35,24,0,0,10,0,0,0,10,31,10,0,0,74,0,15,14,51,43,10,0,14,10,34,0,14,39,15,0,11,69,249,14,20170903
20170905,14,32,380,40,32,79,0,130,11,0,0,11,11,108,5,10,60,42,22,26,50,54,39,14,25,14,0,14,24,73,7,10,21,23,0,11,0,7,21,31,21,26,0,10,0,43,0,35,49,0,38,0,0,0,21,14,7,43,40,0,37,0,0,0,40,0,10,0,0,10,0,0,0,10,67,0,28,0,0,88,0,28,26,11,0,11,105,249,0,20170905
20170910,14,54,487,21,7,12,28,154,11,12,11,28,11,70,5,0,71,76,26,11,0,14,116,0,24,0,14,0,42,62,7,38,7,61,0,44,0,7,21,7,11,0,0,11,14,0,10,0,24,0,14,0,0,0,114,0,35,11,10,0,0,0,0,10,0,26,10,0,26,14,24,32,0,40,0,10,10,0,26,62,0,0,14,14,40,14,95,249,0,20170910
20170912,14,53,471,20,21,0,14,120,11,12,28,57,11,31,1,0,71,52,11,0,0,14,80,0,42,0,0,0,42,35,7,28,7,50,0,69,0,7,35,7,11,0,23,12,0,0,0,0,0,0,14,0,0,0,103,0,18,64,0,0,0,0,0,10,0,10,10,0,11,14,10,54,0,40,14,0,11,15,65,10,0,0,14,14,11,14,104,238,0,20170912
20170916,50,43,464,24,22,21,0,180,11,12,0,28,11,208,1,15,85,138,49,25,14,14,21,0,42,14,10,0,14,81,7,39,7,11,0,14,14,18,21,7,11,0,0,14,14,0,26,0,14,0,25,0,11,14,36,0,7,0,0,0,20,0,0,11,0,56,10,31,14,0,14,0,0,15,0,11,0,15,10,22,0,0,0,39,0,22,58,238,0,20170916
20170918,50,43,464,24,22,21,0,180,11,12,0,28,11,208,1,15,85,138,49,25,14,14,21,0,42,14,10,0,14,81,7,39,7,11,0,14,14,18,21,7,11,0,0,14,14,0,26,0,14,0,25,0,11,14,36,0,7,0,0,0,20,0,0,11,0,56,10,31,14,0,14,0,0,15,0,11,0,15,10,22,0,0,0,39,0,22,58,238,0,20170918
20170919,37,43,479,24,19,47,0,142,11,0,0,15,11,131,1,26,85,81,50,25,14,14,35,0,14,15,0,14,0,69,7,11,7,25,0,0,14,32,21,7,11,0,14,0,0,0,11,14,14,0,12,0,25,0,94,0,7,0,14,0,10,14,0,11,28,0,10,31,28,0,0,0,0,26,14,11,0,54,0,35,0,0,0,38,28,22,82,238,14,20170919
20170926,14,64,261,24,7,10,10,130,11,0,0,0,11,97,5,0,82,187,28,28,56,14,46,0,11,26,0,0,43,10,7,10,47,39,14,47,11,21,32,21,23,0,42,14,40,38,0,0,39,21,43,0,0,10,10,37,32,11,14,0,10,0,0,0,0,75,38,0,0,10,0,32,0,0,0,0,28,0,47,77,21,0,10,0,40,0,97,227,0,20170926
20170928,14,64,261,24,7,10,10,130,11,0,0,0,11,97,5,0,82,187,28,28,56,14,46,0,11,26,0,0,43,10,7,10,47,39,14,47,11,21,32,21,23,0,42,14,40,38,0,0,39,21,43,0,0,10,10,37,32,11,14,0,10,0,0,0,0,75,38,0,0,10,0,32,0,0,0,0,28,0,47,77,21,0,10,0,40,0,97,227,0,20170928
20170930,25,42,385,10,7,37,0,165,11,0,0,0,11,112,5,15,50,39,14,0,89,14,25,0,0,0,0,0,15,36,7,0,7,0,14,11,10,32,10,35,25,0,0,0,14,0,0,35,24,35,11,0,34,25,35,0,28,10,54,0,11,0,0,36,0,0,10,0,0,61,0,0,0,14,14,14,50,0,11,0,63,14,10,11,0,14,73,238,0,20170930
20171002,25,42,385,10,7,37,0,165,11,0,0,0,11,112,5,15,50,39,14,0,89,14,25,0,0,0,0,0,15,36,7,0,7,0,14,11,10,32,10,35,25,0,0,0,14,0,0,35,24,35,11,0,34,25,35,0,28,10,54,0,11,0,0,36,0,0,10,0,0,61,0,0,0,14,14,14,50,0,11,0,63,14,10,11,0,14,73,238,0,20171002
20171003,25,42,425,10,7,37,14,153,11,12,0,0,11,82,5,11,50,35,28,0,46,14,93,0,0,0,0,0,25,37,7,0,7,0,0,40,10,32,10,7,11,0,0,0,0,0,0,21,10,21,11,0,24,25,21,0,18,42,25,0,11,0,0,11,0,14,10,0,11,61,14,14,0,0,70,14,11,0,38,37,31,14,0,11,0,11,71,238,0,20171003
20171004,25,42,425,10,7,37,14,153,11,12,0,0,11,82,5,11,50,35,28,0,46,14,93,0,0,0,0,0,25,37,7,0,7,0,0,40,10,32,10,7,11,0,0,0,0,0,0,21,10,21,11,0,24,25,21,0,18,42,25,0,11,0,0,11,0,14,10,0,11,61,14,14,0,0,70,14,11,0,38,37,31,14,0,11,0,11,71,238,0,20171004
20171005,25,42,425,10,7,37,14,153,11,12,0,0,11,82,5,11,50,35,28,0,46,14,93,0,0,0,0,0,25,37,7,0,7,0,0,40,10,32,10,7,11,0,0,0,0,0,0,21,10,21,11,0,24,25,21,0,18,42,25,0,11,0,0,11,0,14,10,0,11,61,14,14,0,0,70,14,11,0,38,37,31,14,0,11,0,11,71,238,0,20171005
20171010,24,42,350,22,21,0,14,141,11,0,11,37,11,28,5,0,71,63,10,0,0,40,45,0,28,10,14,11,0,40,33,25,17,0,0,10,40,39,59,7,11,0,0,51,38,14,14,26,26,41,38,10,10,0,10,65,49,22,0,0,0,0,0,0,0,21,10,0,0,14,11,0,0,26,0,0,0,14,25,33,51,0,14,34,14,0,83,252,0,20171010
20171011,14,42,412,20,7,36,0,58,11,0,20,49,11,165,5,0,60,117,30,0,0,49,31,0,0,28,0,10,0,21,31,11,7,0,0,43,10,106,21,7,11,0,0,14,35,12,0,62,90,31,10,0,0,0,0,21,7,25,0,0,11,0,0,0,0,65,10,0,50,11,34,0,0,10,28,11,0,11,21,21,41,0,0,10,64,0,155,227,0,20171011
20171017,14,42,492,20,22,33,0,69,11,0,10,10,11,124,5,0,60,69,51,0,14,24,45,0,0,42,0,0,0,57,7,14,7,0,0,54,38,55,10,7,11,0,14,12,48,11,0,36,50,31,10,26,11,0,0,10,21,14,0,0,21,0,0,0,14,11,10,0,40,11,22,0,0,10,0,0,0,24,10,0,41,0,0,36,120,0,169,238,0,20171017
20171018,14,42,492,20,22,33,0,69,11,0,10,10,11,124,5,0,60,69,51,0,14,24,45,0,0,42,0,0,0,57,7,14,7,0,0,54,38,55,10,7,11,0,14,12,48,11,0,36,50,31,10,26,11,0,0,10,21,14,0,0,21,0,0,0,14,11,10,0,40,11,22,0,0,10,0,0,0,24,10,0,41,0,0,36,120,0,169,238,0,20171018
20171025,14,70,473,7,21,75,14,132,11,0,0,11,11,43,5,11,60,49,31,0,0,89,82,0,10,0,0,0,39,58,7,35,18,10,0,26,11,45,34,21,21,22,25,37,35,28,0,14,54,31,10,37,0,14,21,0,21,27,0,0,23,0,0,0,26,0,10,0,0,0,0,0,0,24,0,14,14,10,0,51,41,14,14,71,10,11,109,227,0,20171025
20171026,14,70,473,7,21,75,14,132,11,0,0,11,11,43,5,11,60,49,31,0,0,89,82,0,10,0,0,0,39,58,7,35,18,10,0,26,11,45,34,21,21,22,25,37,35,28,0,14,54,31,10,37,0,14,21,0,21,27,0,0,23,0,0,0,26,0,10,0,0,0,0,0,0,24,0,14,14,10,0,51,41,14,14,71,10,11,109,227,0,20171026
20171027,14,70,473,7,21,75,14,132,11,0,0,11,11,43,5,11,60,49,31,0,0,89,82,0,10,0,0,0,39,58,7,35,18,10,0,26,11,45,34,21,21,22,25,37,35,28,0,14,54,31,10,37,0,14,21,0,21,27,0,0,23,0,0,0,26,0,10,0,0,0,0,0,0,24,0,14,14,10,0,51,41,14,14,71,10,11,109,227,0,20171027
20171028,14,70,473,7,21,75,14,132,11,0,0,11,11,43,5,11,60,49,31,0,0,89,82,0,10,0,0,0,39,58,7,35,18,10,0,26,11,45,34,21,21,22,25,37,35,28,0,14,54,31,10,37,0,14,21,0,21,27,0,0,23,0,0,0,26,0,10,0,0,0,0,0,0,24,0,14,14,10,0,51,41,14,14,71,10,11,109,227,0,20171028
20171029,14,70,473,7,21,75,14,132,11,0,0,11,11,43,5,11,60,49,31,0,0,89,82,0,10,0,0,0,39,58,7,35,18,10,0,26,11,45,34,21,21,22,25,37,35,28,0,14,54,31,10,37,0,14,21,0,21,27,0,0,23,0,0,0,26,0,10,0,0,0,0,0,0,24,0,14,14,10,0,51,41,14,14,71,10,11,109,227,0,20171029
20171030,15,138,468,8,19,79,0,168,11,14,0,14,11,71,5,28,60,43,33,42,68,54,129,14,36,14,28,50,0,85,60,68,7,11,14,61,0,28,45,77,22,0,14,80,52,29,11,15,15,56,35,14,17,11,64,42,21,12,14,0,45,0,0,0,75,31,10,0,0,28,0,11,0,14,14,28,0,25,42,27,41,0,28,34,25,11,119,273,28,20171030
20171031,15,138,468,8,19,79,0,168,11,14,0,14,11,71,5,28,60,43,33,42,68,54,129,14,36,14,28,50,0,85,60,68,7,11,14,61,0,28,45,77,22,0,14,80,52,29,11,15,15,56,35,14,17,11,64,42,21,12,14,0,45,0,0,0,75,31,10,0,0,28,0,11,0,14,14,28,0,25,42,27,41,0,28,34,25,11,119,273,28,20171031
20171101,15,138,468,8,19,79,0,168,11,14,0,14,11,71,5,28,60,43,33,42,68,54,129,14,36,14,28,50,0,85,60,68,7,11,14,61,0,28,45,77,22,0,14,80,52,29,11,15,15,56,35,14,17,11,64,42,21,12,14,0,45,0,0,0,75,31,10,0,0,28,0,11,0,14,14,28,0,25,42,27,41,0,28,34,25,11,119,273,28,20171101
20171102,15,138,468,8,19,79,0,168,11,14,0,14,11,71,5,28,60,43,33,42,68,54,129,14,36,14,28,50,0,85,60,68,7,11,14,61,0,28,45,77,22,0,14,80,52,29,11,15,15,56,35,14,17,11,64,42,21,12,14,0,45,0,0,0,75,31,10,0,0,28,0,11,0,14,14,28,0,25,42,27,41,0,28,34,25,11,119,273,28,20171102
20171103,15,138,468,8,19,79,0,168,11,14,0,14,11,71,5,28,60,43,33,42,68,54,129,14,36,14,28,50,0,85,60,68,7,11,14,61,0,28,45,77,22,0,14,80,52,29,11,15,15,56,35,14,17,11,64,42,21,12,14,0,45,0,0,0,75,31,10,0,0,28,0,11,0,14,14,28,0,25,42,27,41,0,28,34,25,11,119,273,28,20171103
20171106,15,85,442,74,46,0,0,163,11,12,14,0,11,57,5,0,74,90,11,32,46,15,137,14,54,14,0,24,24,71,45,22,31,119,10,48,14,89,48,46,11,37,25,12,24,0,14,14,42,42,21,0,0,0,62,11,29,11,0,0,20,0,0,14,0,0,10,20,23,40,0,0,26,42,28,25,0,15,32,14,52,0,26,62,10,11,107,284,28,20171106
20171107,15,43,413,47,18,14,28,175,22,0,0,0,11,33,5,29,60,168,28,36,50,57,96,0,10,0,28,10,10,207,31,14,17,87,0,48,0,74,34,32,11,59,65,24,24,0,29,14,42,41,22,0,14,14,51,67,58,54,0,0,24,0,0,0,0,42,10,76,12,53,0,0,25,15,28,23,11,12,47,0,51,0,39,31,24,11,109,284,0,20171107
20171112,15,68,532,42,18,52,14,212,11,0,0,0,11,61,5,22,71,68,14,0,0,77,133,14,28,29,14,14,0,114,31,11,31,11,0,26,0,83,60,18,25,45,0,14,10,21,25,11,0,53,36,38,20,67,86,39,21,11,40,0,21,0,0,0,0,21,10,28,0,0,0,28,14,35,28,11,64,0,49,14,52,23,11,31,11,0,107,319,14,20171112
20171115,25,67,533,29,18,75,54,125,23,10,11,0,11,56,5,0,74,49,35,40,0,43,87,14,26,0,10,28,14,93,67,11,17,11,28,37,11,52,55,21,11,29,0,0,10,39,28,0,10,31,75,0,14,11,123,22,31,34,54,0,37,0,0,14,14,0,10,26,11,0,0,0,0,37,24,14,14,0,51,10,41,79,40,10,25,26,191,344,60,20171115
20171116,25,67,533,29,18,75,54,125,23,10,11,0,11,56,5,0,74,49,35,40,0,43,87,14,26,0,10,28,14,93,67,11,17,11,28,37,11,52,55,21,11,29,0,0,10,39,28,0,10,31,75,0,14,11,123,22,31,34,54,0,37,0,0,14,14,0,10,26,11,0,0,0,0,37,24,14,14,0,51,10,41,79,40,10,25,26,191,344,60,20171116
20171117,29,43,562,29,43,45,10,174,11,12,0,0,11,54,19,14,60,96,35,10,0,57,72,28,39,15,0,28,0,21,95,0,31,11,14,49,10,52,87,22,11,26,14,14,10,37,11,42,14,31,89,0,14,25,68,25,31,10,0,0,21,0,0,11,15,14,10,26,42,0,0,0,28,21,0,14,42,14,115,39,41,41,24,10,11,10,131,333,16,20171117
20171119,29,53,606,55,18,80,0,211,11,11,14,0,25,99,4,11,60,113,0,0,0,29,126,0,67,21,14,0,22,63,52,14,41,0,0,50,0,65,58,70,11,12,0,14,10,49,20,38,11,55,10,0,24,14,96,14,47,28,0,0,15,0,0,87,14,38,10,0,12,11,0,0,0,36,0,0,0,26,34,11,81,6,40,49,11,14,105,330,20,20171119
20171121,26,85,586,56,18,90,0,211,11,11,26,26,11,58,1,21,60,42,14,0,0,57,90,0,46,11,14,0,0,104,28,25,28,42,0,32,0,52,77,32,11,0,0,0,36,37,51,0,11,31,10,57,0,14,54,54,82,81,0,0,10,0,0,28,42,14,10,14,11,11,14,0,0,38,0,25,28,0,11,89,41,48,10,35,0,11,119,330,20,20171121
20171123,30,64,637,54,18,67,14,201,11,0,0,54,11,52,5,39,60,37,14,36,10,39,138,14,64,25,0,42,28,66,60,0,28,111,42,40,0,52,62,60,36,0,36,0,24,11,108,14,42,45,36,46,0,54,90,51,61,37,50,0,12,26,0,28,54,0,10,15,12,14,14,11,0,28,14,0,40,0,28,46,41,6,42,24,42,25,121,308,48,20171123
20171124,30,64,637,54,18,67,14,201,11,0,0,54,11,52,5,39,60,37,14,36,10,39,138,14,64,25,0,42,28,66,60,0,28,111,42,40,0,52,62,60,36,0,36,0,24,11,108,14,42,45,36,46,0,54,90,51,61,37,50,0,12,26,0,28,54,0,10,15,12,14,14,11,0,28,14,0,40,0,28,46,41,6,42,24,42,25,121,308,48,20171124
20171128,15,105,552,32,18,74,0,200,11,32,51,22,11,91,5,14,60,90,24,0,28,29,158,0,0,40,14,14,0,99,75,11,27,11,0,14,0,41,20,42,22,47,0,0,21,24,33,0,11,41,10,14,14,28,10,28,49,14,42,0,21,26,0,14,23,0,10,0,14,0,32,0,0,0,12,0,12,0,26,27,51,6,55,10,83,0,154,330,6,20171128
20171129,15,94,563,18,18,75,28,175,11,21,14,10,11,50,5,10,80,164,0,38,28,45,181,14,11,10,0,42,0,130,98,0,17,26,10,29,0,76,41,32,50,52,0,14,73,0,35,0,12,31,10,10,14,42,11,0,7,0,0,0,37,10,0,15,50,0,10,0,0,0,0,0,0,14,24,14,10,0,14,11,41,20,59,10,111,14,155,330,6,20171129
20171130,15,73,605,18,18,61,0,163,11,22,0,10,11,75,5,24,80,163,0,24,28,59,152,0,12,24,0,28,0,172,101,25,31,51,24,12,14,91,56,74,22,71,0,14,20,14,32,14,24,31,38,24,14,42,54,28,21,0,0,0,36,10,0,26,38,28,10,0,0,0,28,0,0,0,28,0,24,0,14,23,41,20,102,24,137,0,167,358,20,20171130
20171202,38,77,680,32,18,0,14,211,22,0,11,11,11,156,5,0,80,100,11,24,52,75,110,0,28,28,10,28,24,54,28,22,17,0,10,63,24,41,66,91,11,33,0,42,20,11,24,14,68,31,24,0,30,43,26,10,7,25,10,0,0,0,0,0,10,12,10,0,11,0,14,14,12,14,24,0,14,0,12,57,41,20,10,37,23,0,133,330,6,20171202
20171205,40,63,440,60,18,44,14,187,25,11,10,26,11,45,5,0,80,92,40,79,25,80,136,0,56,29,0,14,56,57,45,0,41,25,0,34,0,63,58,49,25,22,14,0,34,0,29,28,62,31,10,0,51,28,21,0,21,51,14,0,10,0,0,14,14,11,10,0,0,0,14,0,0,14,43,14,10,14,64,12,41,20,38,21,28,0,157,344,6,20171205
20171209,39,77,641,38,28,12,0,219,22,50,14,26,11,138,1,0,80,101,7,14,42,59,104,3,0,0,26,28,11,126,31,11,31,14,0,14,0,78,42,61,11,39,0,0,44,0,0,29,79,49,10,14,15,14,37,42,17,62,0,0,11,0,0,0,0,0,10,26,28,0,14,0,28,0,14,66,54,28,78,24,67,34,0,10,25,26,157,330,34,20171209
20171210,37,85,546,52,28,47,14,159,11,11,0,14,11,111,1,0,80,70,36,0,25,45,110,0,53,14,10,28,29,73,56,0,31,0,0,55,0,27,94,29,11,34,0,25,41,26,0,26,79,74,10,0,0,14,35,0,35,11,0,0,15,0,0,14,14,42,10,10,12,14,0,0,0,54,0,24,21,26,45,12,92,6,56,10,11,0,179,330,6,20171210
20171212,56,87,712,60,18,26,14,225,11,0,14,0,11,27,5,0,80,67,35,14,14,74,124,0,39,0,14,42,20,84,70,14,17,0,14,24,28,27,97,18,11,48,0,0,31,40,14,0,11,42,10,14,28,0,62,23,36,30,35,0,21,0,0,0,12,28,24,14,14,14,28,0,14,0,11,14,29,29,58,12,52,6,40,24,0,11,141,330,46,20171212
20171216,37,63,516,33,18,65,0,175,11,34,0,11,22,61,5,0,80,144,28,11,11,79,116,0,56,36,0,28,24,107,17,0,31,14,25,11,14,41,55,7,11,0,0,0,34,38,28,0,53,56,10,10,28,0,64,39,17,31,0,0,10,0,0,0,15,91,24,0,0,12,40,0,10,0,42,0,0,0,101,108,66,32,42,56,28,21,169,330,18,20171216
20171218,37,63,545,28,18,34,14,152,34,12,28,10,11,99,5,0,80,143,51,14,14,85,106,0,0,38,0,28,0,120,84,14,31,14,14,25,0,80,40,89,22,14,0,0,34,14,14,14,53,80,24,14,23,0,68,25,7,11,11,0,0,0,0,11,24,51,10,26,0,24,10,0,10,0,14,41,14,14,100,11,92,6,25,45,14,51,195,333,47,20171218
20171219,26,94,703,32,18,11,14,227,25,0,0,0,11,112,5,0,94,83,84,28,14,49,117,0,0,14,0,42,0,147,73,14,17,14,14,37,15,69,58,89,23,0,10,29,34,25,0,0,36,35,10,11,12,26,42,11,7,0,41,0,11,0,0,0,14,11,10,10,23,0,10,0,0,0,0,35,0,11,48,25,52,6,24,35,14,40,145,330,34,20171219
20171220,26,93,600,18,18,10,0,141,11,36,0,0,11,89,5,0,80,51,39,14,14,47,107,14,81,0,12,120,0,92,17,50,17,0,0,49,40,41,44,7,11,0,10,26,20,40,63,0,36,61,10,25,15,36,39,11,64,0,51,0,32,0,0,28,12,25,10,11,0,11,10,0,0,11,0,49,39,0,114,11,52,20,14,49,14,14,167,308,6,20171220
20171221,15,83,502,18,32,28,0,177,11,23,0,0,11,138,5,14,80,127,76,0,14,35,129,14,64,14,10,38,0,48,46,35,31,11,0,65,0,84,55,7,11,0,36,0,20,12,45,14,14,37,38,37,26,0,87,15,61,65,28,0,22,0,0,14,26,0,10,10,0,11,21,0,14,11,0,63,10,15,124,50,52,47,14,10,14,25,178,330,34,20171221
20171222,15,77,550,32,18,36,0,173,11,11,0,0,11,147,5,26,80,100,24,0,0,91,114,0,11,0,14,10,14,57,64,49,17,52,0,35,0,99,52,36,11,0,0,0,62,14,47,11,11,42,21,35,37,0,146,66,36,60,0,0,23,0,0,0,0,14,25,0,0,11,11,14,0,14,0,49,14,37,46,11,52,97,54,10,26,10,195,330,62,20171222
20171223,26,63,505,61,18,129,0,191,11,11,25,0,11,115,5,49,80,107,28,42,14,135,65,0,14,14,28,15,14,171,52,25,28,35,28,21,0,48,69,61,11,0,0,0,48,0,38,10,10,42,10,25,10,14,30,55,42,26,14,0,44,0,0,0,14,14,22,14,11,0,0,14,0,0,14,37,14,21,71,34,52,89,71,10,41,0,205,330,16,20171223
20171224,26,77,486,41,32,63,0,243,11,35,0,14,11,98,5,24,80,71,36,42,0,131,62,0,14,14,0,40,28,86,28,25,17,21,28,40,25,38,44,45,11,0,12,0,20,28,65,0,0,82,10,11,25,28,36,58,17,14,42,0,10,0,0,14,14,28,60,0,0,14,14,0,0,29,28,0,28,11,113,25,92,27,77,10,78,0,97,330,16,20171224
20171227,15,77,464,30,18,76,38,174,25,11,14,10,11,103,5,14,94,146,0,25,0,68,147,26,0,28,28,40,0,97,56,40,17,11,37,0,0,38,83,75,11,0,0,14,20,10,23,0,14,34,10,11,0,28,0,44,7,64,24,0,37,0,0,0,40,36,35,0,26,11,0,15,0,24,14,26,68,11,35,12,52,71,96,35,84,36,145,334,6,20171227
20180102,15,73,450,18,18,39,28,261,11,0,25,39,11,158,5,40,80,141,57,82,54,35,165,0,0,21,29,98,0,103,31,14,31,0,42,22,15,80,30,56,11,22,0,0,45,0,11,24,74,52,73,0,57,0,0,25,7,51,0,0,12,0,0,48,0,0,10,14,11,10,14,0,0,50,14,11,25,0,87,25,62,54,40,39,14,28,97,351,6,20180102
20180107,40,77,457,18,18,11,0,200,23,0,0,25,37,177,5,14,80,133,25,28,0,88,98,0,25,0,35,38,0,36,56,14,28,0,54,26,26,48,45,60,35,11,10,28,48,29,0,28,54,73,20,11,15,14,14,0,7,25,32,0,11,0,0,14,24,80,24,45,41,14,12,31,0,11,25,11,11,0,182,12,92,45,42,35,56,14,133,319,6,20180107
20180116,39,74,551,38,18,10,38,137,11,12,10,0,11,122,5,10,94,162,88,42,53,35,97,14,49,14,0,24,14,38,31,25,27,63,28,21,0,51,44,49,11,48,0,14,48,24,54,0,134,48,20,14,48,0,46,98,65,20,0,0,0,10,0,14,28,15,10,0,12,14,0,51,10,0,14,15,42,14,94,11,52,6,68,62,43,0,207,330,6,20180116
20180119,53,100,511,18,53,11,14,161,11,23,24,40,11,151,5,25,80,185,36,0,0,35,99,14,11,37,14,0,14,53,45,11,17,25,14,33,0,55,100,79,11,0,0,14,20,14,10,0,25,42,24,0,0,26,64,114,63,75,0,0,0,0,0,0,15,44,10,0,0,0,28,11,0,63,24,11,10,14,89,56,52,21,0,10,64,11,155,330,34,20180119
20180121,25,143,385,28,18,0,26,149,11,36,11,25,11,215,5,0,90,246,60,0,14,35,133,12,42,39,28,54,14,14,41,0,17,95,0,47,14,27,54,59,21,11,14,52,30,14,14,0,90,42,46,11,14,14,10,42,50,21,12,0,0,0,0,28,28,84,24,0,12,21,11,0,28,14,28,12,11,0,124,53,52,20,24,10,25,0,181,330,47,20180121
20180123,25,143,385,28,18,0,26,149,11,36,11,25,11,215,5,0,90,246,60,0,14,35,133,12,42,39,28,54,14,14,41,0,17,95,0,47,14,27,54,59,21,11,14,52,30,14,14,0,90,42,46,11,14,14,10,42,50,21,12,0,0,0,0,28,28,84,24,0,12,21,11,0,28,14,28,12,11,0,124,53,52,20,24,10,25,0,181,330,47,20180123
20180124,29,73,340,18,64,14,38,213,11,12,11,82,11,230,5,0,90,313,78,25,39,35,101,10,25,42,0,38,0,36,38,0,31,55,14,54,0,49,107,21,36,24,0,24,74,0,22,0,119,42,45,24,0,0,10,37,89,11,21,0,12,0,0,11,14,43,10,14,26,0,11,0,0,0,14,21,14,0,93,51,52,34,42,38,64,0,157,344,59,20180124
20180206,35,52,376,21,10,104,28,249,11,0,14,0,11,85,5,0,52,157,49,0,11,34,139,28,0,10,10,0,10,114,20,0,10,11,0,11,0,20,59,28,11,0,14,11,48,14,14,38,20,44,24,0,51,0,52,35,74,119,0,0,46,0,0,0,0,14,21,0,64,0,40,33,11,0,52,26,28,14,104,37,62,69,93,32,131,12,131,366,38,20180206
20180208,30,76,360,10,10,32,0,221,11,0,0,30,11,118,5,0,62,124,54,14,14,30,82,14,24,24,38,14,0,25,53,36,24,22,0,14,0,20,79,14,65,0,0,14,35,12,14,74,62,42,24,25,24,40,55,11,24,10,40,0,11,15,0,11,15,70,10,0,25,0,10,0,22,0,0,14,14,0,178,94,52,28,0,24,140,0,145,366,27,20180208
20180213,11,52,438,10,10,58,14,245,11,26,0,20,11,122,5,20,52,205,24,14,28,54,116,11,24,78,0,81,14,28,21,10,10,11,0,48,0,20,65,14,25,0,0,42,77,24,0,22,25,44,20,25,0,10,22,39,0,82,11,0,0,0,0,0,14,80,10,11,0,0,0,0,11,0,14,10,28,0,114,14,62,80,68,10,52,0,121,366,17,20180213
20180222,42,52,336,11,15,15,0,202,11,0,0,0,11,80,5,0,63,120,55,0,0,30,11,30,14,11,25,25,25,67,14,14,0,82,0,14,0,34,43,24,50,0,0,14,50,21,39,0,10,11,22,0,0,46,11,11,46,39,0,0,37,0,0,0,0,40,10,11,23,38,28,12,40,31,0,0,0,0,153,100,11,35,0,14,65,11,178,366,6,20180222
20180227,39,66,387,46,11,80,22,225,11,12,0,23,11,112,5,0,63,200,22,25,14,41,55,58,11,0,0,25,38,60,28,11,36,24,0,26,0,20,20,36,11,0,0,52,64,0,0,0,88,11,39,0,0,34,0,0,52,25,0,0,12,0,0,0,28,35,10,14,14,0,36,0,40,49,26,14,0,0,56,51,11,46,37,0,10,14,166,380,6,20180227
20180302,77,41,365,20,0,0,24,129,11,12,14,23,11,121,1,0,63,176,25,52,52,20,64,48,14,0,22,24,36,14,11,11,10,0,0,63,25,20,41,38,35,14,0,82,64,38,0,0,46,11,0,36,10,20,50,39,52,24,54,0,0,0,0,11,11,28,10,14,0,0,14,11,40,11,52,68,14,42,135,104,11,6,56,0,77,26,203,331,6,20180302
20180304,39,133,381,20,14,0,0,196,11,50,40,53,22,167,5,15,103,100,0,28,14,31,58,34,14,0,14,0,52,96,53,14,0,11,14,33,42,77,42,24,21,28,0,24,50,25,0,0,46,25,28,35,28,34,69,63,39,0,0,0,27,0,0,0,27,14,24,0,0,11,26,0,40,11,0,14,0,33,251,111,39,20,28,14,67,0,146,345,48,20180304
